|Address|Name|Phone
0|St. Stephen's Hospital Marg Tis Hazari Civil Lines, New Delhi - 110054|St. Stephen's Hospital|011 2396 6021, 011 2396 6027, 011 2397 7930, 011 2395 7977, 011 2398 3573, 011 2398 3574, 011 2398 3
1|193 / C-8, Sector 8, Near Madhuban Chowk, Outer Ring Road Rohini, New Delhi - 110085|Dr. Mittal's Diagnostic Centre|011 2794 1155, 2794 2166, 27946 579
2|House No. 2, 3 & 9, Shakti Vihar Pitampura, New Delhi - 110034|Saral Diagnostic Centre|011 4711 1111
3|Indarprastha Apollo Hospital, Mathura Road, Sarita Vihar Okhla, New Delhi - 110076|House of Diagnostics|011 2987 3070 99995 10003
4|8/29, Opposite Arya Samaaj Mandir, West Patel Nagar Patel Nagar, New Delhi - 110008|Simran Sai Diagnostics|97174 44879, 96546 44879
5|Sect. B1, Aruna Asaf Ali Marg, Sect. B, Pocket 1, Vasant Kunj Vasant Vihar, New Delhi - 110070|Fortis Flight Liutenant Rajan Dhall Hospital|011 4277 6222
6|S-32, 33, 87, 2nd Floor, Manish Global Mall, Plot No. 2, Sector-22 Dwarka, New Delhi - 110075|Sanjeevani Dwarka Path Labs|011 6635 5299, 8802833800, 9868358187
7|C-63, Jitar Nagar, Opposite DAV School, Preet Vihar Patparganj, New Delhi - 110092|Path Point Diagnostic Centre|98736 66192, 98739 64944, 99906 14024
8|197 A, Pocket A, Opposite Oriental Bank of Commerce, Mayur Vihar Phase 2 Mayur Vihar, New Delhi - 110091|Plasma HealthChek Diagnostics|011 2277 7700, 1800 111 213 (toll free)
9|D 55 Greater Kailash, New Delhi - 110048|SRL Diagnostic (Delhi)|011 6643 5980
10|Shop Number 5524, Shora Kothi, Near Bhagwati Mandir Pahar Ganj, New Delhi - 110055|Sanjeevani Path Lab|011 6658 1025
11|27/5, Nangia Park, Shakti Nagar Civil Lines, New Delhi - 110007|North Delhi Pathology Clinic|011 2384 1122, 011 6622 3602
12|12091/92, Near Shakti Nagar Chowk, Main G T Road, Shakti Nagar Civil Lines, New Delhi - 110007|Medix Diagnostics And MRI Centre Pvt Ltd|011 6644 3232
13|550- Clm, Behind Delite Cinema, Asaf Ali Road, Delhi Gate, Darya Ganj Pahar Ganj, New Delhi - 110002|Primax Pathlab & Diagnostics|011 6674 5602
14|E-34, Ground Floor, Near Axis Bank ATM, Lajpat Nagar II Lajpat Nagar, New Delhi - 110024|Care Plus Diagnostics|011 6653 1999
15|515,516, Dda Plotted Development, Near ITC Welcom Hotel, Dwarka Sector 19 Dwarka, New Delhi - 110075|Siddhant Diagnostix|011 6621 8339, 011 6518 9657
16|25/36, Near Siddhartha Hotel, East Patel Nagar Patel Nagar, New Delhi - 110008|Midas Lab|011 6644 3537, 011 4507 1695, 011 2572 5825, 9873438434, 9711839313
17|D-1 Hauz Khas, New Delhi - 110016|Dr Dangs Lab|011 6658 5295
18|3, Gujarat Vihar, Near Bal Bharti School, Vikas Marg Karkardooma, New Delhi - 110092|Gami Diagnostic Centre|011 6622 3902
19|Shop Number 7 And 27, B H West, Opposite Jaspal Kaur Public School, Dda Market Shalimar Bagh, New Delhi - 110088|Gupta Diagnostic Centre|011 6672 3577
20|J-36, Central Market, Veer Savarkar Marg, Lajpat Nagar II Lajpat Nagar, New Delhi - 110024|Dr A Lal Chandani Pathology Laboratories|011 4172 1982, 011 2984 0054
21|RZ-C/152, 33 Feet Road, Mahavir Enclave Part-III, Dwarika Sector-1 Dwarka, New Delhi - 110059|Sharma X-Ray and Diagnostic Centre|9971919897, 9212386331
22|S-2, 2nd, Floor, Manish Twin Plaza, Plot No-2, Sector-11, Opposite ICICI Bank Dwarka, New Delhi - 110075|Aarogy Pro|011 4506 3646, 8285833346
23|E-241/A, Gtb Enclave, Opposite Gtb Hospital Gate No.-10 Dilshad Garden, New Delhi - 110095|Best Care Diagnostic and Physiotherapy Centre|011 3304 4855
24|Pocket D 7, Plot No 225, Near Vishram Chowk, Rohini Sector 6 Rohini, New Delhi - 110085|Thyrocare Aarogyam Centre|011 3304 2781
25|20, Community Centre, Near Invitation Restaurant, Ashok Vihar II, Ashok Vihar Rohini, New Delhi - 110052|Dr D K Gulati Path Lab|011 6674 7933
26|Rz-88/J, Opposite Dwarka Flyover, Pillar No. 34, Near Chaturbhuj Medical Store, Main Road, Raj Nagar, Palam Colony Dwarka, New Delhi - 110045|Cee Dee Diagnostics Pvt Ltd|011 6635 5752, 9212428880
27|109 Main Market, Opposite Sri Venkateswara College, Moti Bagh Chanakya Puri, New Delhi - 110021|Balaji Diet & Homeo Clinic|011 6672 9565
28|Opposite Metro Pillar No- 382, Raja Garden Kirti Nagar, New Delhi - 110015|Janta X-Ray & Clinical Lab|011 2510 1414, 011 2510 1433, 011 6547 4141, 9810631433
29|69, Opposite Railway Reservation Counter, Hargovind Enclave Karkardooma, New Delhi - 110092|Clinical Diagnostic Centre|011 6643 7434
30|9, Dayanand Vihar, Vikas Marg Extension, Vikas Marg Karkardooma, New Delhi - 110092|Platinum Imaging Centre A Unit Of Goyal Diagnostics|011 6674 0748
31|80a, Pocket A2, Mayur Vihar Phase III Mayur Vihar, New Delhi - 110096|Upadhyay Clinic|011 6643 0439
32|82/1, Near Ramleela Ground, Circular Road Shahdara, New Delhi - 110032|Shahdara Labs|011 6622 8158, 9212121807
33|10/155, Near Budh Bazar, Geeta Colony Karkardooma, New Delhi - 110031|Arogya Life|011 6643 3318
34|B 294, New Ashok Nagar Extension, Opposite East End Apartment, Mayur Vihar Phase I Mayur Vihar, New Delhi - 110091|Total Care Control|011 2271 0663, 9899764447, 9871110663
35|A 98, Upper Ground Floor, Near D Park, Budh Bazaar Road, Pandav Nagar Patparganj, New Delhi - 110092|Health Via Diagnostic|011 6672 8838
36|G 166, Near Main Red Light, New Seelampur Shahdara, New Delhi - 110053|Trilok Diagnostic And Medical Centre|011 6674 0802, 011 3398 1659, 9871095120
37|17 A, Pocket 1, Mayur Vihar Phase I Mayur Vihar, New Delhi - 110091|Tomar Foundation Pathology Labs|011 6643 4976
38|A-1/1, Aacharya Niketan, Mayur Vihar Phase I Mayur Vihar, New Delhi - 110091|Standard Pathology Services|011 6644 0157
39|13/6, New Shastri Nagar, Shastri Bhawan, Shastri Nagar Metro Station Pahar Ganj, New Delhi - 110001|Star Imagine Path Labs|011 6622 6998
40|2/10, Main Road, Near HDFC Bank & Metro Pillar No 16, East Patel Nagar Patel Nagar, New Delhi - 110008|Hope Medical Centre|9953967585, 9818108070, 9871563376
41|G-2 (Ground Floor Rear), Kailash Colony Greater Kailash, New Delhi - 110048|Indian BioSciences|011 2923 6088
42|In Sir Ganga Ram Hospital, Rajinder Nagar Karol Bagh, New Delhi - 110060|Mahajan Imaging|011 4225 1844, 011 4225 1845, 9958349756
43|A-2, Near Metro Pillar No. 328. Kirti Nagar, New Delhi - 110015|Diwan Chand Imaging and Research Centre|011 4556 2700, 011 4556 2701, 9650044226
44|No-1, Institutional Area Or Near Pgdab College, Nehru Nagar Lajpat Nagar, New Delhi - 110065|Vimhans Hospital|011 2984 9010, 011 2984 9020, 011 2980 2980, 9650725925
45|S-549, Near DON Bosco School, Greater Kailash II Greater Kailash, New Delhi - 110048|Fortis La Femme|011 4057 9400, 011 6464 6001, 9650001663
46|C-222, Opposite C Block Gurudwara, Part-1 Greater Kailash, New Delhi - 110048|Sai Diagnostics|011 2924 1909, 011 2923 1372, 011 2924 5366, 9811934123
47|B-128, Naraina Vihar, Naraina Mayapuri, New Delhi - 110028|Behl Hospital|011 4567 2000, 9810169832
48|H - 1A, Ground Floor, Main Market, South Delhi Hauz Khas, New Delhi - 110016|Health Square Diagnostic Center|011 4531 7777, 011 4531 7715
49|A1/7, Main Rohtak Road And Opposite Metro Pillar 263, Near Peera Garhi Crossing Paschim Vihar, New Delhi - 110063|A One Hospital Pvt Ltd|011 2527 1177, 9810301850, 9312218099, 9013441666
50|C-1/C, Green Park Extension Hauz Khas, New Delhi - 110016|Adiva Hospital|011 4667 2700, 011 4071 4444, 9953552260, 9350002106
51|7-B, Pusa Road Karol Bagh, New Delhi - 110005|Sir Ganga Ram Kolmet Hospital|011 4509 9999
52|G-43, Green Park Main Market, Block S, Green Park Extension Green Park, New Delhi - 110016|Green Park Diagnostics|011 2653 7881
53|No. 11-B, Naya Bazaar, Jai Kishan Sharma Ji Wali, Near RTV Bus Stand Najafgarh, New Delhi - 110043|Satnaam Ultrasound & Lab Facility|011 6565 3535, 9716942729
54|C/215, Near State Bank Of Patiala, Defence Colony Lajpat Nagar, New Delhi - 110024|Aravinds Lab|011 2433 6884, 011 4656 8930, 9810095922
55|E 64, Near M Block Market, Greater Kailash I Greater Kailash, New Delhi - 110048|Asian Clinic|011 3306 3037, 011 4161 4575
56|35, Phase 1, Central Market, Behind Deep Cinema Building, Ashok Vihar Rohini, New Delhi - 110052|Dr D K Gulati|011 2723 2399, 011 2745 0737
57|C-4/19, Main road, Acharya Niketan, Near Syndicate Bank, Mayur Vihar Phase I Mayur Vihar, New Delhi - 110091|Eskay Lab|011 2275 1743, 011 2279 4424, 011 6541 6091, 9810789631
58|B-8/1 Lal Quarters Road, Block B, Krishna Nagar Karkardooma, New Delhi - 110051|Diagnostix Pathology Centre Pvt. Ltd|011 2251 0904
59|17A/38, Vardan Building, Wea, Ajmal Khan Road, Near Jessa Ram Hospital Karol Bagh, New Delhi - 110005|I Trust BKJM Diagnostics & Research Institute|011 2875 2565, 011 2875 6239, 9560394937, 9560394909, 8826991474
60|Near Madhuban Chowk, Rohini Sector 14 Rohini, New Delhi - 110085|Saroj Super Speciality Hospital|011 2790 3333, 011 4790 3333, 011 4944 4444
61|C-15, Near Green Park Metro Station, Green Park Extension Green Park, New Delhi - 110016|C 15 MRI Diagnostic And Research Centre|011 3398 3449, 011 4113 8248
